COPY 1/60/31	TranskribusXML/p050.xml	Y	C15163781	PMOSDMWXCYZCYZTCPTQNDCGW
COPY 1/60/31	TranskribusXML/p051.xml	N	C15163781	DXRYYBTYSSVTHHZWXJIOYELA
COPY 1/60/32	TranskribusXML/p052.xml	Y	C15163782	DLJGRUGQLRDSHQBEPQFAQUUX
COPY 1/60/32	TranskribusXML/p053.xml	N	C15163782	XFIGADWDULNAIFCVEGNAFWJA
COPY 1/60/33	TranskribusXML/p054.xml	Y	C15163783	DHTIJWVSIWFQRCUWGWIDTOER
COPY 1/60/33	TranskribusXML/p055.xml	N	C15163783	XMJCLGXQTGRDMSMHESYXYMZN
COPY 1/60/34	TranskribusXML/p056.xml	Y	C15163784	EABYWKKGPKGFUOOQECHDHXYT
COPY 1/60/34	TranskribusXML/p057.xml	N	C15163784	WOBKKSIYCUBHXYTDKDCCPSTR
COPY 1/60/35	TranskribusXML/p058.xml	Y	C15163785	KSPEKYPQPXQQAHGVUZWPKMOC
COPY 1/60/35	TranskribusXML/p059.xml	N	C15163785	WNREOWJDRLBERXMJSVGBHLUT
COPY 1/60/36	TranskribusXML/p060.xml	Y	C15163786	KIUOYHNRUPSSPVTPISTZVYIY
COPY 1/60/37	TranskribusXML/p061.xml	Y	C15163787	YZRPXBYUCIGULMXYEWCBKACH
COPY 1/60/37	TranskribusXML/p062.xml	N	C15163787	YHYDRJADJOCGUIRXPKYSUIHV
COPY 1/60/38	TranskribusXML/p063.xml	Y	C15163788	WJCKCREZHVXECLZUKGVLNTDL
COPY 1/60/38	TranskribusXML/p064.xml	N	C15163788	PWFRJMQAEXLBZRWKAKUPLGKU
COPY 1/60/39	TranskribusXML/p065.xml	Y	C15163789	SEJOZBFYJIZVSXMOIFASQNST
COPY 1/60/39	TranskribusXML/p066.xml	N	C15163789	KKJBVFTXUYYSIWCJYYEVOASS
COPY 1/60/40	TranskribusXML/p067.xml	N	C15163790	FQVHQYXDHGBYEUHGGMRKXKCY
COPY 1/60/40	TranskribusXML/p068.xml	N	C15163790	SOZSOAAYCJZYNJPLPTRPGPEB
COPY 1/60/41	TranskribusXML/p069.xml	N	C15163791	ZPNYLMKRZXXGOUFATSXEJXUH
COPY 1/60/42	TranskribusXML/p070.xml	Y	C15163792	LJGFQAEQBWVDIKPSMQPHPTJY
COPY 1/60/42	TranskribusXML/p071.xml	N	C15163792	PTBGZRUHHSYXVNQTAKVWYYBU
COPY 1/60/43	TranskribusXML/p072.xml	Y	C15163793	LNKMNSDGDOARCLUKMFHECNEN
COPY 1/60/44	TranskribusXML/p073.xml	Y	C15163794	IHVTNJDIFZDAHOHWDQUTJRUX
COPY 1/60/44	TranskribusXML/p074.xml	N	C15163794	DRSHUALVWNEFYUOFTKAJBXFT
COPY 1/60/45	TranskribusXML/p075.xml	Y	C15163795	PZCSVRQJTJUWIXXQTEUXWVYK
COPY 1/60/45	TranskribusXML/p076.xml	N	C15163795	ZYQBMKGKLEWYGPSSSUIPTQRG
COPY 1/60/46	TranskribusXML/p077.xml	Y	C15163796	VNVYJMIKCRQNZXOGLZEDDEYK
COPY 1/60/46	TranskribusXML/p078.xml	N	C15163796	NZPMMDUFKKONKKXYOWFQDUQJ
COPY 1/60/47	TranskribusXML/p079.xml	Y	C15163797	ZLALGRJNMUOWTTHPDPRUEGTA
COPY 1/60/47	TranskribusXML/p080.xml	N	C15163797	DLQFNTWTHFRARHTZUUMXBGEP
COPY 1/60/48	TranskribusXML/p081.xml	Y	C15163798	KGOHJMPWQOPQCIYAVVQVQGJY
COPY 1/60/48	TranskribusXML/p082.xml	N	C15163798	RZRDMWPHBGGSDUYBPENSULSN
COPY 1/60/49	TranskribusXML/p083.xml	Y	C15163799	BIEZBOAYRRTFIGNWDYKMULWP
COPY 1/60/49	TranskribusXML/p084.xml	N	C15163799	BCNMQVVCDEQXVGDQMDOIFCLT
COPY 1/60/50	TranskribusXML/p085.xml	Y	C15163800	RQLXKJBLBASTORRQKPQOSGJH
COPY 1/60/50	TranskribusXML/p086.xml	N	C15163800	BMPGOKVFXYTGWQKQIUBCICJC
COPY 1/60/51	TranskribusXML/p087.xml	N	C15163801	JWWPXCHSBXOTNDARFDESNUHN
COPY 1/60/52	TranskribusXML/p088.xml	Y	C15163802	IOKIQIAILUGTODYUIMAMXPZX
COPY 1/60/52	TranskribusXML/p089.xml	N	C15163802	IBHOZTYPAXJIKXCOZJBCWDXE
COPY 1/60/53	TranskribusXML/p090.xml	Y	C15163803	MZOZETLIHKGGQNPGIMYTKPES
COPY 1/60/53	TranskribusXML/p091.xml	N	C15163803	VZZMWZADFRHSCEKMWSDWAYPB
COPY 1/60/54	TranskribusXML/p092.xml	Y	C15163804	PSEVXCEVVFUWDVLBIFSAQQYH
COPY 1/60/54	TranskribusXML/p093.xml	N	C15163804	IVNEKUHEEFQJLXTNUOUHBKDU
COPY 1/60/55	TranskribusXML/p094.xml	Y	C15163805	XEZDMPHPFOLGHEMNZQMIKZAY
COPY 1/60/55	TranskribusXML/p095.xml	N	C15163805	ACFUQUQANJASLXLQYVFYDUDA
COPY 1/60/56	TranskribusXML/p096.xml	Y	C15163806	ZFUUFSPUZNCVIBVGRILGXOJG
COPY 1/60/56	TranskribusXML/p097.xml	N	C15163806	GFOUUWTBAHPCMRPKODPENRUN
COPY 1/60/57	TranskribusXML/p098.xml	Y	C15163807	UUTBPMRMJTBVHSTXOZNKHZIF
COPY 1/60/57	TranskribusXML/p099.xml	N	C15163807	AJKJGNLIMATOZQASVJDHEIIJ
COPY 1/60/58	TranskribusXML/p100.xml	Y	C15163808	JRTYYRHIJGQRJROUQEGODARG
COPY 1/60/58	TranskribusXML/p101.xml	N	C15163808	CYWJTDLDODEKZEIRDYMPZNXS
COPY 1/60/59	TranskribusXML/p102.xml	Y	C15163809	MLWLDKPERCLFCUPZLZVQSTDC
COPY 1/60/59	TranskribusXML/p103.xml	N	C15163809	SUUVBPIZKFZRJWLVVXZVOCLG
COPY 1/60/60	TranskribusXML/p104.xml	Y	C15163810	EBBFAVCJLMKHXAMNQHRTMCEZ
COPY 1/60/60	TranskribusXML/p105.xml	N	C15163810	KOQDWDISRGHBLBAGBIGNQMIW
COPY 1/60/61	TranskribusXML/p106.xml	Y	C15163811	WFYQMBUXVTSBGSALYODQGQYZ
